Population,Median Age,Household Income,median_home_value,Poverty Rate,Unemployment rate,house_count
13205.0,43.9,51750.0,148500.0,15.297235895494133,5.172283226050738,168400
2598.0,50.6,65139.0,236700.0,7.236335642802156,2.193995381062356,226200
138.0,60.6,66375.0,287500.0,3.6231884057971016,11.594202898550725,228100
1461.0,49.4,51346.0,228400.0,10.403832991101986,5.201916495550993,193800
1689.0,51.9,54063.0,185300.0,12.55180580224985,4.973357015985791,191100
1716.0,50.2,89688.0,300400.0,2.797202797202797,3.1468531468531467,292400
1582.0,41.6,61563.0,199800.0,12.705436156763591,2.844500632111252,190900
2312.0,46.4,81833.0,268100.0,8.217993079584774,2.292387543252595,245300
1656.0,44.4,74167.0,240600.0,7.971014492753622,2.898550724637681,223300
3006.0,45.7,63963.0,234500.0,4.224883566200932,4.125083166999334,229700
7832.0,46.5,37911.0,159500.0,13.393769152196116,5.222165474974464,158100
